Sl,Code,Prof Name,Prof,Co-supervisor,Topic / Title of Seminar-cum-BTP,Domain / Area,No. of Students,Student Type,"Brief Description (For no description, contact the professor)"
1,AD1,Abhijit Das,AD,,SIMD-based implementation of ECDSA batch verification,"Cryptography, Computational Number Theory, Parallel Implementations",2,Any,Implementation of our Algorithm S3 on Intel Haswell platform
2,AD2,Abhijit Das,AD,,Implementation of various stages of the NFSM for integer factorization,"Computational Number Theory, Parallel Implementations",2,Any,Multi-core implementations of the NFSM
3,AD3,Abhijit Das,AD,,Hyperelliptic curve cryptography,"Cryptography, Computational Number Theory",1,Any,"Finding suitable hyperelliptic curves, and implementation of their Jacobian arithmetic"
4,AG1,Arobinda Gupta,AG,,Distributed Caching ,"Distributed Systems, Algorithms",1,Dual,Will look at dynamic data caching strategies for different types of environments
5,AG2,Arobinda Gupta,AG,,Heterogeneous distributed algorithms,"Distributed Systems, Algorithms",1,BTech,"Continuation of an earlier work. Pure pen-and-paper theory, algorithms design and proofs, no programming. "
6,AG3,Arobinda Gupta,AG,,Scheduling problems in smart grid and vehicular networks,"Algorithms (centralized and distributed), Networks",1,Any,
7,AM1,Animesh Mukherjee,AM,,Understanding social book-reading behavior in Book-reading platform: A case study of Goodreads,Social Media,1,Any,"Goodreads is a popular social book-reading platform which allow book-lovers to share books they have read, review books, rate books and connect with other readers. On Goodreads website, users can add books to their personal bookshelves for reading, track the status of their readings and post a reading status, find which books their friends and favorite authors are reading, participate in discussions and take part in group activities on various topics, and, as well, get personalized book recommendations. Further, Goodreads provides a platform for social interactions among users; once an user adds another user as a friend, one can view his/her friends’ shelves and reviews and comment on friends’ pages. In this project, we shall analyze the social book-reading behavior of the users and how such reading behavior influence the engagement of various entities on the Goodreads platform. We have already crawled a huge data of ~50 million Goodreads user statuses that can be readily used for analysis purpose."
8,AM2,Animesh Mukherjee,AM,PG,Anonymity in Quora,Social Media,1,Any,"Online Anonimity is increasingly becoming a necessity for different sections of people. People anonymously ask questions related to their personal life, or seek knowledge about things that they can't ask in public. Quora is a fast growing Q&A site that provides this useful feature to its users. A user is allowed to ask questions as well as answer to them anonymously.The goal of this research is to study the following:
(a) The characteristics of anonymous contents across different topics in Quora. (b) Why do some users post their answers as anonymous, while other don't. Is there any difference in their answers?
(c) Do anonymous answers receive more upvotes/views? We would also like to develop an anonymity score which would give a value between 0 and 1 depending on the text content and topics."
9,AM3,Animesh Mukherjee,AM,,Learning network embeddings in noisy incomplete graphs,"Network embedding, deep learning",1,Any,"A prediction task on a graph can be of two types. It can be node based i.e we are trying to predict the labels of a set of unknown nodes, given that we know the exact labels of a fraction of the dataset. As an example in a social network dataset, we may be interested in understanding the interests of a node based on its peers. It can also be edge based i.e. we are interested in predicting links between two nodes, as an example in a collaboration network we may be interested in predicting future collaborations between two researchers.
In either of the tasks we are required to represent the training examples as feature vectors which is extremely time consuming, requires domain knowledge and it is not generalizable.
In this project our objective is to investigate techniques for automatically generating ""deep"" features for representing nodes. We will explore existing state-of-the-art methods, where representation of a node is learned by optimising an objective function. This function ensures that the features generated for a node is consistent with that of its neighbours and hence the neighbourhood is preserved. We will look into how different definitions of neighbourhood
and fluctuations in node properties affect the generated feature vector and the accumulated effect on the prediction accuracy. See for example a working system here: snap.stanford.edu/node2vec"
10,AM4,Animesh Mukherjee,AM,,Understanding Network Robustness against random and targeted attacks,Network Science,1,Any,"An important aspect in the study of complex system is to understand the effect of failure of the individual components on the performance of the whole networked system. The detailed motivation for studying this effect depends on the particular networked system under consideration. As an example, it is important to know how the failure of individual routers in the Internet affects the overall function of the network. Similarly, if the network in question is a contact network on which a disease can spread, then it is critical to understand how the
effective removal of vertices from the network (e.g. through vaccination) affects the spread of the disease.
In this project our primary objective is to understand how network metrics which quantify robustness is affected by various types of attacks i.e both uniform and targeted. We will look at measures based on connectivity, distance including reliability polynomials. We will also consider metrics based on spectral property of the graphs i.e. metrics which are function of the eigenvalue of the modified graph adjacency matrix. We will apply these techniques on novel real world datasets and based on our observations we will propose algorithms which
can increase resilience of vulnerable networks"
11,AM5,Animesh Mukherjee,AM,,Observing code-mixing and code borrowing patterns in deleted (possibly regrettable) tweets.,"Social media, natural language processing, data clustering, psycho-experiments",1,Any,"In this proposal, we are intending to find out code mixing and borrowing patterns of hindi words in english tweets and vice versa through a word clustering cum classification method. We also intend to do a psycho-linguistic experiment to better understand the patterns. The motivation here is that borrowing and mixing will reflect more clearly in deleted (possibly regrettable) tweets then normal tweets. Example of code mixing: aap to mere ""well wisher"" hain. Example of code-borrowing: hum dono aaj ""match"" dekhne jayenge."
12,BM1,Bivas Mitra,BM,,Community detection in Multilayer Social networks ,Social Networks ,1,Any,"Classically, social relationships are represented as networks; for instance Facebook friendship network, Twitter follow network etc. Interestingly, real networks are becoming increasingly dependent on one another. Nodes in this kind of interacting networks can be interdependent, and in this case the function or activity of a node in one network layer depends on the activity of the nodes in another network layer. For example, in Facebook, other than friendship, we can find relations like who-messages-whom, who-shares-what etc. To represent such complex relationships, we take help of multilayer networks. In this project, we want to detect communities in such multilayer networks. Community detection is a standard problem to detect cohesive groups in a network. However, investigating community structure in complex multilayer networks is a challenging task. This project aims to propose new algorithms to detect communities in generic multilayer networks and new metrics to measure quality of such communities. The evaluation of the algorithm with be performed through empirical and synthetic dataset and suitable recommendation systems will be built as an application of the algorithm. "
13,BM2,Bivas Mitra,BM,,Success of Meetup groups,Social Networks,1,Any,"Event based online social services (EBSN), such as Meetup and Plancast, have experienced increased popularity and rapid growth in recent years. In EBSN, a group of people organize different types of events such as traveling, technical talks, eating at restaurants etc. The success of a Meetup group can be perceived from the many different perspectives – organizing big event, having thematically consistent attendees, growing group etc.  In this project, we aim to leverage on deep learning and analyze the success of Meetup groups. The objective is to develop a prediction cum recommendation system which can predict the success of a Meetup group and also can provide context driven recommendations to the event host & group coordinator to make the group successful. "
14,BM3,Bivas Mitra,BM,,Characterizing and Predicting Bursty Cascades in Twitter,Social Networks,1,Any,"In tweeter, retweets of some post form cascade. Some cascades are formed within a very short time period. They exhibit a “quick rise-and-fall” pattern forming bursts. Essentially, burst is a large number of retweets of a particular tweet occurring within a certain short time window. The occurrence of a burst indicates the original tweet receives abnormally high attentions during the burst period.  In this project, we aim to address the question ""can we detect, model and predict the burst during information spreading?"" The vast difference in magnitude and time span of the cascades makes extracting comparable features difficult, and results in building predictive models challenging."
